0, 39.5
1, 41.0
2, 41.0
3, 41.5
4, 41.5
5, 41.5
6, 41.5
7, 41.5
8, 41.5
9, 41.5
10, 41.5
11, 41.5
12, 41.5
13, 41.5
14, 41.0
15, 41.0
16, 41.0
17, 41.0
18, 41.0
19, 41.0
20, 41.0
21, 41.0
22, 42.0
23, 43.5
24, 44.5
25, 46.0
26, 47.0
27, 48.5
28, 50.0
29, 51.0
30, 52.5
31, 53.5
32, 55.0
33, 56.0
34, 57.0
35, 58.5
36, 59.5
37, 61.0
38, 62.0
39, 63.5
40, 64.5
41, 66.0
42, 67.0
43, 67.0
44, 67.0
45, 67.0
46, 66.5
47, 66.5
48, 66.5
49, 66.5
50, 66.0
51, 66.0
52, 66.0
53, 65.5
54, 66.0
55, 66.5
56, 66.0
57, 66.0
58, 66.0
59, 66.0
60, 65.5
61, 66.0
62, 66.0
63, 66.0
64, 66.0
65, 66.0
66, 66.0
67, 66.0
68, 66.0
69, 66.0
70, 66.0
71, 66.0
72, 66.0
73, 66.0
74, 66.0
75, 66.5
76, 66.5
77, 66.0
78, 66.0
79, 66.0
80, 66.0
81, 65.5
82, 66.0
83, 66.5
84, 66.5
85, 66.0
86, 66.0
87, 66.0
88, 66.0
89, 66.0
90, 66.0
91, 66.0
92, 66.0
93, 66.0
94, 66.0
95, 66.0
96, 66.0
97, 65.5
98, 66.0
99, 66.0
100, 66.0
101, 66.0
102, 66.0
103, 65.5
104, 66.0
105, 66.0
106, 66.0
107, 66.0
108, 66.0
109, 66.0
110, 66.0
111, 65.5
112, 66.0
113, 66.5
114, 66.5
115, 66.5
116, 66.0
117, 66.0
118, 66.0
119, 66.0
120, 65.5
121, 66.0
122, 66.5
123, 66.5
124, 66.0
125, 66.0
126, 66.0
127, 66.0
128, 65.5
129, 65.5
130, 66.5
131, 66.5
132, 67.5
133, 68.5
134, 69.5
135, 71.0
136, 72.0
137, 73.0
138, 74.0
139, 75.5
140, 76.5
141, 76.5
142, 76.5
143, 76.5
144, 76.5
145, 76.5
146, 76.0
147, 76.0
148, 76.0
149, 75.5

